nama_pengguna,rating,ulasan
Agung Prasetyo,2,"beli komponen kek ( Led Flex ) udah gak bisa mesti gak keluar, harus lewat browser atau pc mau beli pekakas yang sebagian ada di tokopedia ada sekarang malah udah gak bisa, gak muncul lagi, kok malah tambah ribet, gak bisa lagi lewat HP yang Gak bisa contohnya - LED SMD 5730 - LED VU METER RGB"
Ade Nuraini,1,"tokped sekarang banyak bug ya. masa paket saya stuck di situ"" aja gak jelas ini tokped"
Caxi Irtinnata,4,oke
Muhamad Ramadan,1,"Sekarang Tokopedia gak bisa ngajukan komplain, udah 10 hari barang gak datang padahal jaraknya malang-surabaya yang normalnya 3-4 hari. Mau komplain tunggu besok, udah besok tunggu lagi besok, gitu aja seterusnya."
Juliana Ana,5,in syaa Allah selalu ORI barang toko pedia
Mas sabar Mahudi,1,tidak ada bonus promo
Qonaah Ikhlas,5,good
Liouz Zitanggang,1,aku kena penipuan di toko pedia ini. dan akun toko saya diblokir. tolong pencerahannya
Hendi Endot,5,"yth tokped. tolong bantu saya dengan id prayogi putranto, membelibarang berupa hp yg d kirim soklin, blm saya confirmasi barang, sekarang dlm proses pengajuan/complain, tolong d bantu, saya rugi jutaan klo sampai pengajuan complain saya d tolak, sayaharus angsur perbulan 580 selama 6 bln, saya merasa d rugikan klo se andainya gagal pengajuan pengembalian barang."
Wu Wa,1,Di persulit untuk return
Iwan Maulana,3,oy toped di pencarian terjadi buq tolong segera di fix.....jadi kzl gw 🗿
Donny Agusta Rizlah,1,"mesen barang sampe jutaan, udh dipesen dibatalin sama toko secara sepihak. harusnya dana gua kan balik. ini malah ditahan sama pihak tokped tanpa kejelasan apapun. kapok gua belanja di tokped. gua ngadu minta bantuan TokopediaCare pun percuma yg bales AI. gaakan ada solusi."
dori chan,1,"sekarang makin parah si ijo ini, masak dana refund lama banget baliknya.. ini udah mau 24jam msh blm balik ke rekening padahal duit lg dibutuhin buat yg lain. aneh sih, toko oren aja Tarik uang hanya itungan detik masuk.. kecewa"
Achmad Fikri,5,Oke Kak Lakukan dengan sebaik apapun itu Oke.👍👍👍
YUTA PANGALILA,1,pas bayar suka gagal & promonya jadi ilang
Mirza Zaky Qasthalany,1,"pihak tokped selalu merekomendasikan barang"" yang mengandung unsur 18+ padahal saya tidak pernah mencari barang"" tersebut di pencarian, dan ini sangat menggangu kenyamana saya sebagai pengguna"
Mohammad Faisal Riza,5,Mangstab beut dah
Ade Prasetyo,3,Lebelnya doang gratis ongkir :( kencur!
made widia Palguna,3,"Tolong donk buat Tokopedia, sering-sering di cek toko-toko online yg bekerjasama, masih banyak saya jumpai toko abal-abal, ada lapaknya tapi udah lama ga update produknya, tidak pernah online, kirim chat ga pernah dibalas, stok produk masih muncul tapi begitu dibeli ternyata stok sudah habis, kirim produk sering mendekati batas akhir transaksi, dll..., Tokopedia kalau ga mau berbenah bakal ditinggal customer dan kedepan mungkin hanya tinggal nama, kalah sama toko online sebelah."
AICE PROJECT,5,Oke
Abdan Syakur,5,aplikasi yg menurut ku termasuk aplikasi terbaik
Farhan Botak,2,"baru ini make tokped, pembelanjaan dari tokped terlalu lama paling seneb belanja pengiriman nya lama untuk proses nya!!! di perbaiki lagi tuh tolong"
Rofy Ketrina,5,Aku Selalu jadi langganan Tokopedia Terpercaya tepat Pas Barang ya ..
Diinar “Dinar” Rika,1,"belanja disini sering dapat barang palsu..ini udah kesekian kalinya saya dpt barangbpalsu dan tidak sesuai poto dan deskripsi produk.. apa tokopedia ga manegur selleer nya yang dapat bintang 1 ya?? udah gitu susaaaaah banget terhubung dengan CS yang jawab pesan bot..kitanya ga bisa menyampaikan keluhan secara langsung..solusi mengembalikan barang, merepotkan sekali sumpah.."
Kintan Jasmine,1,aplikasinya nipu harga jangan di download
Kalena Efris,1,"Ga usah nyantumin diskon kalau ga bisa dipakai. Aplikasi scammer, jangan di download"
Abah Nanang,5,serba mudah mantap pokona mah
boy bobom,1,Tokopedia banyak barang palsu dan tidak asli dan barang ilegal dan tidak ada perijinan dari pajak dan bea cukai...pantas negara Indonesia jadi rugi sekitar Rp 235.82 triliun
Surya Zurya,1,"Aplikasi sering bermasalah mengenai jaringan, padahal wifi selalu normal, namun server tokopedia sering tidak merespon, tolong perbaiki segera."
David Wong,5,"aplikasi terbaik ,tidak diragukan lagi"
Yogi Aditya Firmansyah,1,berat bgt ini aplikasi tokped skrg. dulu saya lbh prioritas tokped ketimbang keranjang kuning krn apk nya enteng. skrg buat scroll2 cari barang sbntar aja udh berat. HP RAM 12 padahal.
supyan,1,sekarang pengiriman di tokopedia jadi lelet banget
Upil Cacing,5,pertama belanja. semoga banyak promo dan gratis ongkir
Abdullah,5,goods ferry good
Ninik Puji Rahayu,1,banyak modus penipuan
Dzakwan ALBahy,1,parameter batasan keranjangnya ABSURD haha kalo pakai batasan item barang atau toko tidak masalah ini malah pakai batasan pcs juga. efeknya ini saya pesen kertas 1000 pcs gk bisa jadinya wkkw. klik beli juga gk bisa karena larinya kekeranjang dan pasti kena batas max pcs lagi
Budi,1,saya kena tipu toko abal abal tokopedia tidak ada tanggapan buat membantu saya
I Ketut Wintara,1,"LEBIH BAIK BELANJA DI SHOPEE DARI PADA TOKOPEDIA .. SUDAH PESAN BAYAR .., SUDAH DITUNGGU MALAH BARANG TIDAK DATANG TAMPA KONFIRMASI DAN UANG MASUK KE SALDO TOKOPEDIA"
Agus Efendi,1,"Barusan saya kena tipu saya wa ke no. wa yg dapet dari Instagram resminya tokopedia. karena ada pembatalan pembelian., dia nyuruh saya beli barang terus dibatalin akhirnya saya beli tapi saldonya ngk balik lagi malah ada yg ngambil di akun tokopedia punya saya"
Badron Sodron,1,aplikasi parah promo besar buat pelanggan tertarik dan akhirnya dibikin kecewa barang gak pernah dikirim
Indara Aldairihh,5,proses cpt
Kagasaki Futari (FK),3,"isi bagus, mines notifikasi bloatware. jalan Mulu dan gak bisa dihilangkan, biasanya promo iklan"
Andre Salim,1,"mau pengembalian barang tapi kurirnya tidak datang2, akhirnya komplain ketutup sendiri & dianggap membeli."
Dhivan Saputro,5,anjay
Arif Agustiyan,1,"aplikasi aneh dan gak laku... banyak toko yang di blokir ,gmn mau bersaing dengan toko sebelah... owner nya kelewat TOLOL"
ochim tsukino,5,"saya tdk akan pernah berbelanja di Tokopedia lagi, banyak toko yg menjual barang tdk layak, mohon ditindaklanjuti"
rovi jack016,5,proses cepat dan mudah
Indra Irwana,3,"Kenapa ini apk tokopedia, mu masuk ke tagihan tokopedia card saja sudah 2 hari tidak bisa masuk, bagaimana saya bayar jika tidak bisa masuk ke menu tagihan tokopedia card"
Mihoyo,1,"coba benerin lagi sistem tokopedia card nya, mau bayar dipersulit, ada aja alesanya, kayak koneksi internetlah, trus harus tunggu 15 menit lah, padahal udah ditungguin sampai besoknya tetep aja gk bisa, masa masalah kyk gini gk hilang hilang, dan masalahnya sampai berhari hari"
abang toyib,1,"sekarang Tokopedia aneh pertama saya beli di Tokopedia bisa cod pas udah beli, saya mau beli lagi udah gak bisa cod mau beli apapun juga memang aneh"
galag azis,1,"APLIKASI INI SUDAH MILIK CINA PKI, BUKAN APLIKASI MILIK ANAK BANGSA LAGI... WKWK, KONOHA INDO UDAH DIBELI SAMA CINA"
Iman Zaenal Mutaqin,5,bagus
Ayu Nita,1,"KURIR ID EXPRESS SERING CHAT SETELAH KIRIM PAKET LALU MEMINJAM UANG, SEBAIKNYA PAKAI SI CEPAT SAJA KARENA SI CEPAT KURIRNYA SOPAN"", JNE MALAS ANTAR KE RUMAH SUKA MINTA KITA KE JALAN AMBIL DI JALAN UTAMA, J&T JUGA MALAS ANTAR KE RUMAH MALAS TURUN DARI MOTOR KITA YANG HARUS NYAMPERIN KE MOTOR"
priyatna bonong,3,sekarang jadi stupid banget fitur pencarian di Tokopedia. Jelas-jelas barangnya ada di toko dan di ketik sesuai nama barang; tetap muncul barang tidak ditemukan! bikin males saja cari barang di Tokopedia. Sejauh ini terus menurun kualitas app Tokopedia.
Syandi Nugroho,5,oke
Andi Cpx,1,Nebar iklan di mana mana saya tidak suka
Teguh Bangun Aribowo,5,ok
Tony Reiha,3,"Gan, setelah di update Fitur Feed Update di tokped nya kok tidak bisa di scroll ya?"
Adi Siswanto,4,ini dlu.... semoga lancar jaya
m ali mustofa,2,kok macet mau bayar
ORIGINAL GARAGE,4,tidak seperti dulu
Rfn _,1,"pembayaran pake gopay saldonya selalu tidak terdeteksi, padahal udah ditopup ehh saldo gopay tabungan malah yang tampil, giliran di topup ke gopay tabungan ehh malah saldo utama yang tampil, hal hasil saya harus top up dua duanya baru bisa"
ERHICKSON JANTONIUS SITUMORANG,5,terimahkasih
Istriheni Monalisatayu,1,"beli diskon dapat kupon event kemarenan disuruh tf dl baru dapat potongan,bayar 40rb,stlh diitung2 eh harga normal cm free ongkir,gimik doang beli kopi 20pcs jatohny satuan2rb,mau bangkrut cukup 1x ja"
Mukhtar Setiawan,1,koneksi timeout mlu KNPA dah babhi
Faizal Setiawan,1,"aplikasi buruk sekali, sudah beli pesanan ga dikirim, minta refund malah saldo pake acara ditahan sangat menyulitkan pembeli jangan sampai ada lagi yang ketipu sama aplikasi ini"
Reggina Putri,1,ko akun saya gak bisa klaim voucher sih....
ilham_ faauzi,1,"bug yang ga pernah fix setiap update aplikasi, ketika melihat foto"" ulasan geser bawah atas kanan kiri hampir gabisa, perbaiki dong min, ngehambat banget bug itu."
ali mohammad,5,bagus
eko jerry eko,1,belanja di sini jarang yang bisa cod
Linka Damin,5,sangat baik membantu saya
deni saputra,3,"tolong dibuat virtual account kyk aplikasi shopee, bisa buat berbagai macam virtual account msal BSI bisa 10 virtual account untuk 10 produk, krna kami mau booking dulu 10 barang baru bayar, kalau disini harus bayar dulu, sdgkn kalau mau beli produk baru lg jdi produk pertama hilang karna sdh beli produk kedua. tolong diperbaiki. makasih"
Dwi Hartono,5,"Simpel,lengkap,cepat."
Anggara Selian,5,sukses
Fardan bimantara putra,1,"filternya buruk gak kyk dulu, cari barang harus ulang filter terus saat kembali.. sortirnya juga sekarang ngawur kenapa malah jelek daripada yg dulu?"
Ilhami Putri Ajeng,5,"memuaskan, Produk paling lengkap ya diTokped apapun dicari pasti adaaa Mantap"
Darrel Ammarnibras,5,bagus mangtap minus kebanyakan error tapi oke
Asmadi Asmadi,5,mantap toko pedia
Yayat Hidayat 15,5,keren
Tulisen dewe,5,"tiktok paylater tidak bisa dibuka padahal masih ada angsuran sudah jatuh tempo,CS pun tidak bisa terhubung.aplikasinya makin kacau ........"
Ejicandra12,3,"jika pesan barang terus kita tidak mengisi reting toko, bisa otomatis mengisi sendiri wkwkwk"
Ginie Oh Ginie,1,"Tokped now many Seller not active, CO never processed, but Admin do nothing never block Merchant & often Banned/block Customer with reason break the rules, perhaps no need customer anymore, no more longer will BANKRUPT Market Place like this.....!!!!!! 💩 💩 💩 🙊 🙊 🙊 🤮 🤮 🤮"
Rizal Muhammad,5,Perbaikan yg bagus
AL,1,TIM TOKOPEDIA CARE SANGAT TIDAK PROFESIONAL.
Fake World,5,cekatan
Arjun Triyono,5,"mau tolong tambahin fitur masukan pin dulu klo mau blanja online, karena yg sekarang terlalu mudah belanja tinggal 2 klik doang langsung di proses, nanti buat alasan costumer nge return, dg alsan kepencet, kasihan orang2 kurirnya, ini untuk di tokopedia maupun di tiktok shop ya"
Emil Ismail,1,makin lemah saya cekout gak ada respon sampe seminggu duakali ulang hadeuh parah
Sandi Lesmana,1,Aplikasi ini sangat tidak jelas dalam pelayanan Maslah barang cacat sudah kirim bukti tetapi di tidak ada solusi di tambah pelayanan cs gak manusiawi tidak mendengar keluhan dan selalu tutup komplain ketika komplain aplikasi ini buruk sekali
Jamaluddin Situru,3,"Bagus cuma Ongkir nya sangat mahal dari harga barang 20.000 jadi total 69.000,mohon di kurangi sedikit harga ongkir nya"
Agus Sopian,1,anjinglah. saya setiap kali pesan kurir nya kurang ramah tidak ada konfirmasi lagi kapan pengantaran paket nya. cobalah di berbaiki untuk proses pengantaran paket nya
Agus Riyanto,5,bagus
Ismar Tanto,5,oke
Glend Saputro,3,tidak bisa update
Hil Ay,5,ok
MUHAMMAD ASWIN SUHADDA HARAHAP,5,mudah cepat dan praktis
Mochandik Alvino27,5,hemat banget sangat membantu
Khasan Jepara,2,"tidak bisa beli pakai cod padahal sayang sekali banyak orang yg ingin beli di Tokopedia karena kualitasnya dan barang barang nya bagus bagus mau beli ( Vape / pod ) enggak bisa beli mau jadi langganan ( Vape / pod ) tetapi metode pembayaran nya ( debit ). toko bagus hanya metode nya yg buruk, ini saran tolong langsung di ubah langsung."
Enda Bayau Aquriuss,1,"sekarang belanja di tokopedia gk bisa bayar di tempat,,,"
hendra cenet,5,sangat bagus trmksh
ywm,5,bagus
yesa andina,1,"cs tidak membantu, promo yg didapat tidak sesuai, cashback tidak diterima"
Amin Wibowo,1,Ongkir nya Ter parah SE online lain....hanya bagus paylater nya🤣🤣.beli 2X .barang GK terkirim kirim..toko nya pada GK amanah...Tutup saja
Cash Nauval,4,gan metode pilihan pembayaran susah di buka. tolong di perbaiki. mw belanja jadi susah
Aing Saha,4,4 dulu ya.
Mld Super,3,"mau ganti nomor aja susahnya minta ampun ,,, anjg, ribet hidop loe"
Fo Salta13,5,bagus
Frisca Clarissa,1,"Jangan di install. Aplikasi penipu diskon, saat mau beli diskonnya hilang. Sayangi waktu kalian pakai aplikasi lain"
Jaka Geledek,5,banyakin gratis ongkir biar tambah maju
The Leons,1,sekarang tokpedia parah ya.saya komplain atas penipuan yang saya alami sudah beberpa hari gak di tanggapi..
Ajis Supriadi,4,mantap
kurukurukputasaja kurukurukputasaja,5,top markotop lah untuk lazada
Minth Joyo,1,Rekomendasi kurirnya tidak bagus pengiriman dekat bisa 1 minggu lebih
SUNARDI,5,mantab......
Keenan Reynando,1,"semua pelayanan sangat lambat chat penjual pun tidak ada respon penjemputan kurir sampe 3 hari masih disuruh nunggu 3 hari lagi..masa iya proses sampe seminggu baru dikirim, itupun kalau dikirim"
Boy Horor,5,sip deh
Iwan Setiawan,5,bagus aplikasinya Enak di pakai
Surati Margining wahyu,1,"aplikasi error. tambah keranjang selalu ""terjadi kesalaha"". susah buat beli produk berbeda dalam 1 toko & 1 pengiriman. tampilannya aja yang sok modern. kupon promo2nya juga ga bisa dipakai, alias ngibul."
Superman777,1,"Saya mesen barang tiba tiba dicancel karena kesalahan penetapan harga,uang saya gak dikembalikan 100 persen"
Ahmad Tauviq,5,bagus parcaya...
Heri Santika,5,jnice
Arik Rahman,4,sitem COD masih belum ada di metode pembayaran
Jalim Jalim,2,ongkir nya hampir sama dengan harga nya parah😂
Ai Fatmawati,5,menu halaman gampang dipake
Pak Supriono,1,"pada tanggal 17 Oktober lalu saya sudah transfer uang buat beli amplifier Yamaha, tapi ternyata barang sdah habis, lalu saya menanyakan dana refund saya,, tapi akun saya justru diblokir,,dan setelah akun saya aktif lagi, saya tidak bisa melihat data transaksi saya dan dana refund saya belum dikembalikan sampai sekarang.... liciknya Tokopedia ialah, memblokir akun saya!! hiingga setelah saya aktif lagi dengan akun baru, saya tidak bisa lihat data transaksi saya"
Yozil Efatmi,5,sangat membantu
Krisna Bagus Wahyu,1,ini gimana sih mau buka all chat malah muncul kolom rekomendasi ga penting banget anjir mau chat seller lama gaisa diperbaiki lagi lah lu sistimnya
Eliza Sukiman,5,"cari barang -barang elektronika di Toko pedia , lebih lengkap , lebih murah , mendapatkan pelayanan terbaik."
Botol,2,posting lebih dahulu resep search
Kang Izul,5,sangat mudah
mardian Pro,5,sangat membantu sekali dari segala proses pembayaran dan pengiriman
harun lubis,1,Sangat tidak profesional dalam menangani kendala apabila terjadi keterlambatan kurir dan ternyata tidak ada jaminan bahwa barang yg kita beli terlambat atau bahkan tidak sampai. Gak berubah ni tokopedia. Malah sekarang gak bisa komplain. Memang tidak pernah menghargai konsumen
Bang Karna,1,"ekspedisi rekomendasi tokopedia tidak jelas, untuk tokopedia kalo mau ngasih layanan gratis ongkir yang niat apa,"
Marchella sosiawan,2,pembayaran sekaligus error mau bayar pulsa Pascabayar dan PDAM sekaligus tdk bs.. error trs
Kholis23 23,1,kecewa dengan toko pedia banyak toko penipunya mending cari yg lain aja mana malah admin toko pedia bantuin penipunya
Rizky Barkah Bahtiar,1,"ga suka banget sama sistem pengiriman sekarang ga bisa pilih ekspedisi, dipaksa pakai kurir rekomendasi, masalahnya paket sering di over ke berbagai ekspedisi yang membuat paket muter muter disitu"
Fadil Ahmad,5,mantap
Rizky F. Arman,2,jujur makin kesini kok makin banyak aja ya bug nya
Taufan Jonet,1,"opsi alasan pembatalan pembelian harusnya ditambahi, BARANG TIDAK READY STOCK TAPI DITAMPILKAN DI ETALASE DENGAN SENGAJA"
Dilan Nisa,1,ga jelas buka aplikasi mental LG buka aplikasi mental LG hapus ga aja lah
Endrik Susanto,5,👍
MOH NURDIN,1,PELAYANAN CS BURUK👹👹👹👹 PELAYANAN BANTUAN/KONSULTASI BURUK.💥💥💥💥💥💣💣💣 PENGADUAN BURUK.✋️✋️✋️✋️✋️😡😡😡😡😡😡👹👹👹🤡🤡👿👿👿😈😈👺👺
Angga Kusuma,5,ok
susilopratama pratama,4,"min tolong toko-toko yang sudah tidak aktif berjualan jangan di tampilkan di pencarian.. atau kasih penjelasan kapan terahir online penjual .... aku sudah cekhout berkali-kali saya tunggu gak di kirim-kirim, ternyata tokonya udah lama gak jualan ... tolong tampilkan saja toko-toko yg masih aktif"
Ròçķ Mlòŕòď,5,jos
Poco C85,5,membuang uangku Terima kasih tokped
Yoga Nur arifin,4,tepat waktu
AhmadXieUud 123,1,tokped ini gaje produk lebel gratis ongkir tp minimal 3 jt lu mau beli apa cokk taik
Element88,1,"ckp kecewa. habis beli barangnya, eh ternyata ad yg lebih bagus + murah. knp gk pas ngesearch ditunjukin ya.. kecewa berat 😔💔"
Irawan Dikdik,5,Its good online shop👍
abdorrosyid Rosyid,5,Alhamdulillah puas
Mas Jhond,5,Trimakasih Tokped sukses selalu
americano hot,1,tolong cs yang namanya rosalina di evaluasi slow respons atau semua cs tokopedia seperti ini? pelayanan 👎
Maluntui Parut,1,cs chat live tidak menjawab beda dengan cs si oren cepat tanggap
JUMADI,5,ok mantap
Lisa Kartika,5,saya suka belanja di Tokopedia
Dedi Samsudin,5,"Belanja puas tidak ada tipu 2 , saldo saya Rp 63 ribu bisa belanja lagi barang serupa , yaitu jaring pagar ayam"
alun dwikora,5,respon cepat
Andry Rava,4,good
sahrul cdx,1,tampilan terbaru buat pencarian tidak sesuai produk yang cari saja nyusahin
Frenal Renal,1,respon chat pengaduan lelet. ga lagi dah
Ahmad Hidayat,5,sangat memuaskan
Saesar Dwi Rahman,1,tolong lah di notif gratis ongkir waktu checkout g ada kuponnya. tokped ga se bagus yang dulu
Dedi Koestiadi,4,Mantappp Tokopedia proses mudah dan cepat.
Rahman Devan,2,tadi siang saya checkout langsung ada no resi ketika saya mau batalkan gk ada fiturnya kalau sekarang saya checkout gk ada respon dari penjual otomatis saya batalkan
Ms Arifien,5,👍👍👍👍💥👌
karie supriyadi,1,"sampai kesal nunggu refund.sudah sabar nunggu, malah kita yg dibikin repot sendiri.suruh cek ini cek itu.barang di cancel oleh system bukan kita yg cancel.dijawab sama RObot.begitu dijawab sama cs cmn email2an sampai 1 bln lebih ngak memuaskan akhirnya.dana juga tidak BALIK.mungkin saya 1 dari sekian orang yg mengalami.klo dialami oleh 100orang saja mungkin dana nya bisa beli cendol 1 propinsi. cukup sudah belanja ditokped."
